global_step,phase,eta,accuracy,loss,recurrent_rate_hz,current_time_ms,run_duration_ms
40,train,2e-07,0.7,0.017599443630020587,7.636375753940484,400120.0,10003.0
41,train,2e-07,0.85,0.016532774169286137,7.777666699990003,410123.0,10003.0
42,train,2e-07,0.85,0.016643402536926002,7.404445333066747,420126.0,10003.0
43,train,2e-07,0.85,0.016844840259502072,7.743010430204272,430129.0,10003.0
44,train,2e-07,0.8,0.016477453953280985,7.781665500349895,440132.0,10003.0
45,train,2e-07,0.85,0.01608387833048326,7.507081208970642,450135.0,10003.0
46,train,2e-07,0.75,0.01656746726225081,7.525075810590155,460138.0,10003.0
47,train,2e-07,0.75,0.017821416641071737,6.905261754806892,470141.0,10003.0
48,train,2e-07,0.75,0.016580552350620205,7.469092605551668,480144.0,10003.0
49,train,2e-07,0.8,0.01694733906693537,7.407111199973341,490147.0,10003.0
50,train,2e-07,0.65,0.016151633854525203,7.415775267419774,500150.0,10003.0
51,train,2e-07,0.85,0.015905327027326232,7.379786064180745,510153.0,10003.0
52,train,2e-07,0.85,0.014697369899420975,7.728348162218002,520156.0,10003.0
53,train,2e-07,0.9,0.015181331960604994,7.432436935585991,530159.0,10003.0
54,train,2e-07,0.85,0.01582015046050591,7.0405545003165715,540162.0,10003.0
55,train,2e-07,0.7,0.016769807969675535,7.227831650504848,550165.0,10003.0
56,train,2e-07,0.85,0.01500205887629929,7.169849045286414,560168.0,10003.0
57,train,2e-07,0.75,0.016035482084724655,7.611716485054484,570171.0,10003.0
58,train,2e-07,0.75,0.016477761584020277,7.287813655903229,580174.0,10003.0
59,train,2e-07,0.75,0.01728034769592275,6.8886000866406745,590177.0,10003.0
60,train,2e-07,0.9,0.01355644902269183,7.17184844546636,600180.0,10003.0
61,train,2e-07,0.95,0.013699339340064681,7.6037188843346994,610183.0,10003.0
62,train,2e-07,0.85,0.014585900139505776,7.713019427505082,620186.0,10003.0
63,train,2e-07,0.8,0.014632887730187227,7.406444733246693,630189.0,10003.0
64,train,2e-07,0.9,0.014725495189894296,7.2971441900763105,640192.0,10003.0
65,train,2e-07,0.75,0.015774463129521993,6.666666666666667,650195.0,10003.0
66,train,2e-07,0.85,0.014117770939973753,7.383784864540638,660198.0,10003.0
67,train,2e-07,0.85,0.014852123617935784,7.338465127128528,670201.0,10003.0
68,train,2e-07,0.85,0.014561457006894351,7.044553300676464,680204.0,10003.0
69,train,2e-07,0.85,0.014668294753924449,7.293145389716418,690207.0,10003.0
70,train,2e-07,0.65,0.016883589047264794,7.276483721550201,700210.0,10003.0
71,train,2e-07,0.75,0.01461650154527285,7.230497517411443,710213.0,10003.0
72,train,2e-07,0.9,0.013033550787003186,6.9099270218934326,720216.0,10003.0
73,train,2e-07,0.7,0.015355770952440739,7.243826851944416,730219.0,10003.0
74,train,2e-07,0.75,0.015356351854125778,7.023892832150356,740222.0,10003.0
75,train,2e-07,0.8,0.01478686131957396,7.335132793495285,750225.0,10003.0
76,train,2e-07,0.8,0.014567174574137903,7.156519710753441,760228.0,10003.0
77,train,2e-07,0.85,0.013888381940543301,7.503748875337399,770231.0,10003.0
